x,y,token
0.27435222,1.097013,[
0.26944745,-0.35038194,and
0.030642148,-0.15006733,by
0.27263966,1.0967078,]
0.28409865,1.0904582,CHAPTER
0.24037303,0.9836152,1
0.15356512,-0.09558267,The
-0.5939104,0.3819108,family
0.17674443,-0.29805425,of
-0.52119064,0.4381173,Dashwood
-0.2935598,0.18047416,had
0.29643467,-0.35936126,long
-0.39286247,0.21128324,been
-0.40840304,0.25880086,settled
0.16901504,-0.28911307,in
-0.3970072,0.27951515,Sussex
0.09898778,0.093485504,.
0.23804174,-0.18332288,Their
-0.47388378,0.33082694,estate
-0.10638866,-0.007902892,was
0.22647882,-0.32521772,large
0.23965402,-0.28563586,","
0.05655111,-0.21219535,their
-0.26298904,0.09850106,residence
0.009364571,-0.074251585,at
-0.5426169,0.3780984,Norland
-0.23679389,0.094538756,Park
0.3827474,-0.49299687,the
0.57247,-0.6921561,centre
-0.4246611,0.2310726,property
0.052426737,-0.08120795,where
-0.20878862,0.16544753,for
-0.1482943,0.020739045,many
-0.071874894,-0.06648625,generations
0.10983985,-0.22307053,they
-0.30560538,0.17559983,lived
-0.23320019,0.2080665,so
-0.50062174,0.3418953,respectable
0.16780825,-0.25211844,a
-0.38488176,0.23035663,manner
0.0143457,-0.09182132,as
-0.107293926,0.11765446,to
-0.53935236,0.4547085,engage
-0.4913597,0.26226693,general
-0.40162063,0.4840775,good
-0.6090472,0.39965332,opinion
0.12073858,-0.2582914,surrounding
-0.59142506,0.36398515,acquaintance
-0.3300584,0.2343547,late
0.026655765,-0.14154376,owner
-0.2249562,0.17819335,this
0.027375719,-0.09642447,single
-0.17605709,0.23710044,man
-0.25260338,0.23194942,who
-0.40821606,0.36825648,very
0.3803839,-0.5079618,advanced
-0.46385783,0.32237485,age
-0.23271915,0.015421456,years
0.30952087,-0.40350446,his
-0.27429128,0.18315317,life
-0.5447974,0.32497072,constant
-0.36823633,0.20819548,companion
-0.25318262,0.27680948,housekeeper
-0.5483521,0.4271661,sister
-0.20403776,0.3920067,But
-0.38560662,0.2959611,her
-0.10113584,0.31688678,death
-0.04963032,-0.10814677,which
-0.46539208,0.33488348,happened
-0.15133643,-0.061000653,ten
-0.11041147,0.040644977,before
-0.47647715,0.32089436,own
-0.5096141,0.26332065,produced
-0.045623865,-0.027709344,great
-0.46600044,0.27415067,alteration
-0.3358788,0.32016405,home
0.23015241,-0.2806208,;
-0.29472974,0.11093763,supply
-0.49232578,0.33658403,loss
-0.13220859,0.1461512,he
-0.4294737,0.26996243,invited
-0.45327502,0.25810423,received
0.3874261,-0.460037,into
-0.21665372,0.0943618,house
-0.2926775,0.2604927,nephew
-0.23060112,0.41019487,Mr
-0.14285074,0.1123554,Henry
-0.20843014,0.2379341,legal
-0.53519964,0.37755316,person
-0.15259829,0.26820856,whom
-0.51354957,0.33673203,intended
-0.1998053,0.23604618,it
0.1533517,-0.11527118,In
-0.52274364,0.30947387,society
-0.2986623,0.16570267,children
0.064598136,0.034366652,old
-0.13159965,0.35168585,'
-0.04906618,0.14399628,s
-0.20906027,0.005229574,days
-0.04132461,-0.06200829,were
-0.12769845,0.049411476,comfortably
-0.4436239,0.25932175,spent
